stimulus_name,original_filename,url,start_time,Notes ,crop_size,centre_x,centre_y,tstill,,, 
dog_barking,Dog goes WOOF.mp4,https://youtu.be/aiWi9PvNfYo?t=8,8,,400,640,400,9,,,
shower,Shower Sound - Extended 10 Hours Version  White Noise Sounds  Sleep Study or to Soothe a Baby.mp4,https://youtu.be/QdFA04R9RyA?t=14,20,,600,800,550,21,,,
birds_chirping,SINGING BIRDS.mp4,https://youtu.be/I7dYd-Ra8bk?t=21,21,,500,900,100,22,,,
chopping_vegetables,Sharp Japanese Knife Cutting Vegetables ASMR (No Talking).mp4,https://youtu.be/mnJewFAksAQ?t=127,120,,600,600,500,123,,,
keyboard,ASMR 15 Keyboards with Fast Typing for Studying & Works🌞(4K No Talking).mp4,https://youtu.be/Tn8IDh21AVY?t=2005,1995.6,,720,350,500,1996.6,,,
zipper,ASMR Zipper Sounds - No Talking - Request.mp4,https://youtu.be/BsnWQqPkJMk?t=163,181.2,,400,400,500,184,,,
cutting_paper,Cutting Paper (ASMR).mp4,https://youtu.be/84zZABCs0C8?t=118,118,,300,200,1000,118,,,
church_bell,St. Paul’s Catholic Church bell San Francisco.mp4,https://youtu.be/j8fQ6FhdKXQ?t=5,5,,600,640,400,6,,,
man_eating,MOST POPULAR FOOD FOR ASMR (KFC ONION RINGS MOZZARELLA CORN DOG CHICKEN NUGGETS) NO TALKING.mp4,https://youtu.be/JkGx1vojCDM?t=454,454,,400,700,2000,454,,,
lion_roar,Africa angry lion roar march 2014.mp4,https://www.youtube.com/watch?v=t0Fq37AdvZ0?t=20,20,,650,600,600,21,,,
washing_machine,OLD SKOOL ASMR  Real WASHING MACHINE Sounds  REAL LAUNDRY & DOMESTIC AMBIENCE White Noise.mp4,https://youtu.be/gwLY35YU354?t=229,229,,720,720,500,229,,,
ocean_waves,PERFECT SUNSET 60min 4K (Ultra HD).mp4,https://youtu.be/jEnd8JIMii4?t=319https://youtu.be/jEnd8JIMii4?t=50,50,,400,750,500,51,,,
stormy_rain,Rain On Window with Thunder SoundsㅣHeavy Rain for Sleep Study and Relaxation.mp4,https://youtu.be/mPZkdNFkNps?t=1007,1007,,400,750,500,1007,,,
clock_ticking,Clock Ticking Sound [Tick Tick] Real Analog Clock on The Wall for Sleep  ASMR.mp4,https://youtu.be/eFCC3zRpZLo?t=8,8,,720,600,650,9,,,
triangle_chime,TRE-HS05 TreeWorks Chimes 5-inch Triangle NEW video!.mp4,https://youtu.be/KehwOidcPcs?t=4,4,,400,600,20000,5,,,
pen_clicking,ASMR Button Clicking and Tapping Sounds (No Talking).mp4,https://youtu.be/4mDMDrGOrCQ?t=2170,2170,,600,200,1100,2170,,,
can_opening,Soda Can Opening Sound Effect.mp4,https://youtu.be/InGwkK_bl6w?t=3,3,,550,640,400,4,,,
